Last Name,First and Middle,Area,Role,Years Served,,,,,,,,,,,,,,
Crill,Edward S.,Florida,State Treasurer: Florida ,1885-1889,,,,,,,,,,,,,,
Pons,Francis J.,Florida,State Treasurer: Florida ,1889-1891,,,,,,,,,,,,,,
Triay,E. J.,Florida,State Treasurer: Florida ,1891-1893,,,,,,,,,,,,,,
Collins,Clarence B.,Florida,State Treasurer: Florida ,1891-1893,,,,,,,,,,,,,,
Whitfield,James B. ,Leon,State Treasurer: Florida ,1897-1903,,,,,,,,,,,,,,
Knott,William V.,Leon,State Treasurer: Florida ,1903-1912,,,,,,,,,,,,,,
Luning,John Christian,Lake,State Treasurer: Florida ,1912-1928,,,,,,,,,,,,,,
Bemis,Nathaniel P.,Florida,Comptroller: Florida,1845-1845,,,,,,,,,,,,,,
Archer,Hugh,Leon,Comptroller: Florida,1845-1847,,,,,,,,,,,,,,
Bemis,Nathaniel P.,Florida,Comptroller: Florida,1847-1847,,,,,,,,,,,,,,
Archer,Hugh,Leon,Comptroller: Florida,1847-1847,,,,,,,,,,,,,,
Towle,Simon  ,Florida,Comptroller: Florida,1847-1851,,,,,,,,,,,,,,
Beard,John,St. Johns,Comptroller: Florida,1851-1854,,,,,,,,,,,,,,
Archer,James T.,Leon,Comptroller: Florida,1854-1855,,,,,,,,,,,,,,
Brevard,Theodorus W.,Brevard,Comptroller: Florida,1851-1854,,,,,,,,,,,,,,
Williams,Robert C.,Florida,Comptroller: Florida,1860-1863,,,,,,,,,,,,,,
Gwynn,Walter,Florida,Comptroller: Florida,1863-1866,,,,,,,,,,,,,,
Beard,John,St. Johns,Comptroller: Florida,1866-1868,,,,,,,,,,,,,,
Gamble,Robert H.,Florida,Comptroller: Florida,1868-1873,,,,,,,,,,,,,,
Drew,Columbus,Florida,Comptroller: Florida,1873-1877,,,,,,,,,,,,,,
Barnes,William D.,Florida,Comptroller: Florida,1877-1881,,,,,,,,,,,,,,
Bloxham,William D.,Leon,Comptroller: Florida,1890-1897,,,,,,,,,,,,,,
Reynolds,William H.,Florida,Comptroller: Florida,1897-1901,,,,,,,,,,,,,,
Croom,Alonzo Church,Leon,Comptroller: Florida,1901-1912,,,,,,,,,,,,,,
Knott,William V.,Leon,Comptroller: Florida,1912-1917,,,,,,,,,,,,,,
Douglas,Thomas,Florida,Supreme Court Justice: Florida,1846-1851,,,,,,,,,,,,,,
Douglas,Thomas,Florida,Supreme Court Justice: Florida,1854-1855,,,,,,,,,,,,,,
Baltzell,Thomas,Escambia,Supreme Court Justice: Florida,1846-1850,,,,,,,,,,,,,,
Baltzell,Thomas,Escambia,Supreme Court Justice: Florida,1854-1860,,,,,,,,,,,,,,
Hawkins,George Sydney,Franklin,Supreme Court Justice: Florida,1846-1850,,,,,,,,,,,,,,
MacRae,George W.,Florida,Supreme Court Justice: Florida,1847-1848,,,,,,,,,,,,,,
Lancaster,Joesph B.,Alachua,Supreme Court Justice: Florida,1848-1850,,,,,,,,,,,,,,
