Last Name,First and Middle,Area,Role,Years Served,,,,,,,,,,,,,,
Ledwith,William M.,Duval,State House Representative: Florida,1879,,,,,,,,,,,,,,
Reed,Harrison,Duval,State House Representative: Florida,1879,,,,,,,,,,,,,,
Scott,Johm Robert Sr.,Duval,State House Representative: Florida,1879,,,,,,,,,,,,,,
Wilkins,Joesph,Escambia,State House Representative: Florida,1879,,,,,,,,,,,,,,
Yonge,James E.,Escambia,State House Representative: Florida,1879,,,,,,,,,,,,,,
Monroe,Claiborne,Gadsden,State House Representative: Florida,1879,,,,,,,,,,,,,,
Sharon,H. F.,Gadsden,State House Representative: Florida,1879,,,,,,,,,,,,,,
Tuten ,Joesph Daniel ,Hamilton,State House Representative: Florida,1879,,,,,,,,,,,,,,
Hope,Samuel E.,Hernando,State House Representative: Florida,1879,,,,,,,,,,,,,,
Frierson,John James English,Hillsborough,State House Representative: Florida,1879,,,,,,,,,,,,,,
White,Adam C.,Jackson,State House Representative: Florida,1879,,,,,,,,,,,,,,
Junius ,Jackson,Jefferon,State House Representative: Florida,1879,,,,,,,,,,,,,,
Thompson,James D.,Jefferson,State House Representative: Florida,1879,,,,,,,,,,,,,,
McCarty,J. B.,Lafayette ,State House Representative: Florida,1879,,,,,,,,,,,,,,
Frazier,Samuel W.,Leon,State House Representative: Florida,1879,,,,,,,,,,,,,,
Proctor ,John Elias,Leon,State House Representative: Florida,1879,,,,,,,,,,,,,,
Walker,Samuel,Leon,State House Representative: Florida,1879,,,,,,,,,,,,,,
Osgood,Alfred Brown,Madison,State House Representative: Florida,1879,,,,,,,,,,,,,,
Tidwell,B. F.,Madison,State House Representative: Florida,1879,,,,,,,,,,,,,,
Parker,L. H.,Manatee,State House Representative: Florida,1879,,,,,,,,,,,,,,
Goss,James D.,Marion,State House Representative: Florida,1879,,,,,,,,,,,,,,
Gabriel,Robert,Monroe,State House Representative: Florida,1879,,,,,,,,,,,,,,
Marsh,Marshall H.,Monroe,State House Representative: Florida,1879,,,,,,,,,,,,,,
Redmond,C. T.,Nassau,State House Representative: Florida,1879,,,,,,,,,,,,,,
Riddell,S. T.,Nassau,State House Representative: Florida,1879,,,,,,,,,,,,,,
Kerby,Edwin,Putnam,State House Representative: Florida,1879,,,,,,,,,,,,,,
Monroe,Augustus M.,Putnam,State House Representative: Florida,1879,,,,,,,,,,,,,,
Patchen,Jared,Putnam,State House Representative: Florida,1879,,,,,,,,,,,,,,
Harrison,Santa Rosa,Santa Rosa,State House Representative: Florida,1879,,,,,,,,,,,,,,
Wallace,William,Santa Rosa,State House Representative: Florida,1879,,,,,,,,,,,,,,
Westcott,John,St. Johns,State House Representative: Florida,1879,,,,,,,,,,,,,,
Sloane,W. W.,Sumter,State House Representative: Florida,1879,,,,,,,,,,,,,,
Curry,S.A.,Sumter ,State House Representative: Florida,1879,,,,,,,,,,,,,,
Gardner,B. M.,Suwannee,State House Representative: Florida,1879,,,,,,,,,,,,,,
Ivey,Robert A.,Suwannee,State House Representative: Florida,1879,,,,,,,,,,,,,,
Henderson,Robert,Taylor,State House Representative: Florida,1879,,,,,,,,,,,,,,
Jones,A. R.,Walton,State House Representative: Florida,1879,,,,,,,,,,,,,,
Fildes,Charles L.,Alachua,State House Representative: Florida,1881,,,,,,,,,,,,,,
Howren,H. D.,Alachua,State House Representative: Florida,1881,,,,,,,,,,,,,,
Slaughter,Samuel B.,Alachua,State House Representative: Florida,1881,,,,,,,,,,,,,,
Tompkins,Joesph Robert,Alachua,State House Representative: Florida,1881,,,,,,,,,,,,,,
Williams ,Elias,Baker,State House Representative: Florida,1881,,,,,,,,,,,,,,
Williams ,Berry M.,Bradford,State House Representative: Florida,1881,,,,,,,,,,,,,,
Parker,Henry L.,Brevard,State House Representative: Florida,1881,,,,,,,,,,,,,,
Morgan,Alexander G.,Clay,State House Representative: Florida,1881,,,,,,,,,,,,,,
Tolbert,Joesph M.,Columbia,State House Representative: Florida,1881,,,,,,,,,,,,,,
Potter,Richard B.,Dade,State House Representative: Florida,1881,,,,,,,,,,,,,,
Lucas,W. H.,Duval,State House Representative: Florida,1881,,,,,,,,,,,,,,
Nattiel,John ,Duval,State House Representative: Florida,1881,,,,,,,,,,,,,,
Tippin,Augustus Calvin,Escambia,State House Representative: Florida,1881,,,,,,,,,,,,,,
Welch ,Isaac,Escambia,State House Representative: Florida,1881,,,,,,,,,,,,,,
Hinson,Daniel M.,Gadsden,State House Representative: Florida,1881,,,,,,,,,,,,,,
McMillan,Duncan,Gadsden,State House Representative: Florida,1881,,,,,,,,,,,,,,
Spear,Henry H.,Gadsden,State House Representative: Florida,1881,,,,,,,,,,,,,,
Zipperer,Thomas J.,Hamilton,State House Representative: Florida,1881,,,,,,,,,,,,,,
Stringer,Shelton,Hernando,State House Representative: Florida,1881,,,,,,,,,,,,,,
McCrary,Andrew F.,Jackson,State House Representative: Florida,1881,,,,,,,,,,,,,,
Watson,Hinton J.,Jackson,State House Representative: Florida,1881,,,,,,,,,,,,,,
Gibbs,Burton C.,Jefferson,State House Representative: Florida,1881,,,,,,,,,,,,,,
Hall,John W.,Jefferson,State House Representative: Florida,1881,,,,,,,,,,,,,,
McCrary,Lafayette Napoleonm Bonaparte,Jefferson,State House Representative: Florida,1881,,,,,,,,,,,,,,
Pollock ,A.J.,Jefferson,State House Representative: Florida,1881,,,,,,,,,,,,,,
Friar,H. M.,Madison,State House Representative: Florida,1881,,,,,,,,,,,,,,
Griffin,W. D.,Madison,State House Representative: Florida,1881,,,,,,,,,,,,,,
McGrath,William J.,Marion,State House Representative: Florida,1881,,,,,,,,,,,,,,
Perry,Robert J.,Monroe,State House Representative: Florida,1881,,,,,,,,,,,,,,
Plummer,J.W.V.R,Monroe,State House Representative: Florida,1881,,,,,,,,,,,,,,
McMeekin,F. M.,Putnam,State House Representative: Florida,1881,,,,,,,,,,,,,,
Newsom,L. L.,Putnam,State House Representative: Florida,1881,,,,,,,,,,,,,,
Marquis,George,Santa Rosa,State House Representative: Florida,1881,,,,,,,,,,,,,,
Ivey,Jasper N.,Suwannee,State House Representative: Florida,1881,,,,,,,,,,,,,,
Umstead,George W.,Suwannee,State House Representative: Florida,1881,,,,,,,,,,,,,,
Parker,Wiley H.,Taylor,State House Representative: Florida,1881,,,,,,,,,,,,,,
Kennedy,A. S.,Walton,State House Representative: Florida,1881,,,,,,,,,,,,,,
McKinnon,Neill J.,Walton,State House Representative: Florida,1881,,,,,,,,,,,,,,
Miller,William W. J.,Washington,State House Representative: Florida,1881,,,,,,,,,,,,,,
Fortner,Mitchell Griffin,27th District,State House Representative: Florida,1883,,,,,,,,,,,,,,
Lewey,Mathew M.,Alachua,State House Representative: Florida,1883,,,,,,,,,,,,,,
Trapp,William ,Alachua,State House Representative: Florida,1883,,,,,,,,,,,,,,
Edwards,William H.,Bradford,State House Representative: Florida,1883,,,,,,,,,,,,,,
Gaskins,John L. MD,Bradford,State House Representative: Florida,1883,,,,,,,,,,,,,,
Platt,Francis W.,Brevard ,State House Representative: Florida,1883,,,,,,,,,,,,,,
Kickliter,Leonard Warren,Clay,State House Representative: Florida,1883,,,,,,,,,,,,,,
Tompkins,John William ,Columbia,State House Representative: Florida,1883,,,,,,,,,,,,,,
McCormick,"William H. Sr,",Duval,State House Representative: Florida,1883,,,,,,,,,,,,,,
Thompson,Lemuel W.,Duval ,State House Representative: Florida,1883,,,,,,,,,,,,,,
Putnam,Royal,Escambia,State House Representative: Florida,1883,,,,,,,,,,,,,,
White,Mark S.,Escambia,State House Representative: Florida,1883,,,,,,,,,,,,,,
Grady,John E.,Franklin,State House Representative: Florida,1883,,,,,,,,,,,,,,
Hendry,G. A.,Gadsden,State House Representative: Florida,1883,,,,,,,,,,,,,,
Monroe,Claiborne,Gadsden,State House Representative: Florida,1883,,,,,,,,,,,,,,
Ward,Thomas L.,Gadsden,State House Representative: Florida,1883,,,,,,,,,,,,,,
Townsend,Francis M.,Hernando,State House Representative: Florida,1883,,,,,,,,,,,,,,
Keathly ,Christopher Columbus,Hernando ,State House Representative: Florida,1883,,,,,,,,,,,,,,
McMullen,John James ,Hillsborough,State House Representative: Florida,1883,,,,,,,,,,,,,,
Wilder,Calfrey L.,Hillsborough,State House Representative: Florida,1883,,,,,,,,,,,,,,
McClellan,James F.,Jackson,State House Representative: Florida,1883,,,,,,,,,,,,,,
McCardy ,Moses W. C.,Jefferson,State House Representative: Florida,1883,,,,,,,,,,,,,,
Proctor ,George Willis,Jefferson,State House Representative: Florida,1883,,,,,,,,,,,,,,
Davis,Henry Mack,Leon,State House Representative: Florida,1883,,,,,,,,,,,,,,
Rollins,Charles h.,Leon,State House Representative: Florida,1883,,,,,,,,,,,,,,
Weeks,Wallace S.,Leon,State House Representative: Florida,1883,,,,,,,,,,,,,,
Hall,Thomas A.,Madison,State House Representative: Florida,1883,,,,,,,,,,,,,,
Stripling,Joseph N.,Madison,State House Representative: Florida,1883,,,,,,,,,,,,,,
SIndorf,Henry William ,Santa Rosa,State House Representative: Florida,1883,,,,,,,,,,,,,,
Floyd ,Henry Hamilton,St. Johns,State House Representative: Florida,1883,,,,,,,,,,,,,,
Mabry,Milton Harvey,Sumter,State House Representative: Florida,1883,,,,,,,,,,,,,,
Wilcox,Samuel A.,Taylor,State House Representative: Florida,1883,,,,,,,,,,,,,,
Tully,George W.,Wakulla,State House Representative: Florida,1883,,,,,,,,,,,,,,
Vaughan,John P.,Walton,State House Representative: Florida,1883,,,,,,,,,,,,,,
Melvin,Ephraim Posey,Washington,State House Representative: Florida,1883,,,,,,,,,,,,,,
Forrest,Thomas Jefferson,Alachua,State House Representative: Florida,1885,,,,,,,,,,,,,,
McCaslin,James,Alachua,State House Representative: Florida,1885,,,,,,,,,,,,,,
Herndon,Urban C.,Baker,State House Representative: Florida,1885,,,,,,,,,,,,,,
Croft,John,Bradford,State House Representative: Florida,1885,,,,,,,,,,,,,,
Tumblin,W. W.,Bradford,State House Representative: Florida,1885,,,,,,,,,,,,,,
Richard,Jackson N.,Calhoun,State House Representative: Florida,1885,,,,,,,,,,,,,,
Davis,Robert Wyche ,Clay,State House Representative: Florida,1885,,,,,,,,,,,,,,
Niblack,John F.,Columbia,State House Representative: Florida,1885,,,,,,,,,,,,,,
Palmer,Bascom H.,Columbia,State House Representative: Florida,1885,,,,,,,,,,,,,,
Owen,W. B.,Duval,State House Representative: Florida,1885,,,,,,,,,,,,,,
James,William ,Duval ,State House Representative: Florida,1885,,,,,,,,,,,,,,
Tate,James M.,Escambia,State House Representative: Florida,1885,,,,,,,,,,,,,,
Yonge,James E.,Escambia,State House Representative: Florida,1885,,,,,,,,,,,,,,
Emmons,J. D.,Escambia ,State House Representative: Florida,1885,,,,,,,,,,,,,,
Grady,Henry L.,Franklin,State House Representative: Florida,1885,,,,,,,,,,,,,,
Miller,Daniel W.,Gadsden,State House Representative: Florida,1885,,,,,,,,,,,,,,
Owen,Edward,Gadsden,State House Representative: Florida,1885,,,,,,,,,,,,,,
Snider,A. W.,Gadsden,State House Representative: Florida,1885,,,,,,,,,,,,,,
Kirk,Benjamin Franklin,Hernando,State House Representative: Florida,1885,,,,,,,,,,,,,,
Head,William Pitt,Hillsborough,State House Representative: Florida,1885,,,,,,,,,,,,,,
Taylor,John Stansel jr.,Hillsborough,State House Representative: Florida,1885,,,,,,,,,,,,,,
Powell,James L.,Jackson,State House Representative: Florida,1885,,,,,,,,,,,,,,
White,Adam C.,Jackson,State House Representative: Florida,1885,,,,,,,,,,,,,,
Gibbs,Burton C.,Jefferson,State House Representative: Florida,1885,,,,,,,,,,,,,,
Smythe,J. C.,Jefferson,State House Representative: Florida,1885,,,,,,,,,,,,,,
Washington,Rudolph W.,Jefferson,State House Representative: Florida,1885,,,,,,,,,,,,,,
Walker,David Shelby Jr.,Leon,State House Representative: Florida,1885,,,,,,,,,,,,,,
Weeks,Edmund C.,Leon,State House Representative: Florida,1885,,,,,,,,,,,,,,
Quincy,Samuel,Levy,State House Representative: Florida,1885,,,,,,,,,,,,,,
Solomon ,M. J.,Liberty,State House Representative: Florida,1885,,,,,,,,,,,,,,
Hughey,W. F.,Madison,State House Representative: Florida,1885,,,,,,,,,,,,,,
Figueredo,Fernando,Monroe,State House Representative: Florida,1885,,,,,,,,,,,,,,
Robinson,Benjamin M.,Orange,State House Representative: Florida,1885,,,,,,,,,,,,,,
Hicks,Joesph ,Putnam,State House Representative: Florida,1885,,,,,,,,,,,,,,
Perrenot,Charles J.,Santa Rosa,State House Representative: Florida,1885,,,,,,,,,,,,,,
Wilkinson,John Jr.,Santa Rosa,State House Representative: Florida,1885,,,,,,,,,,,,,,
Gudenrath ,Otto,St. Johns,State House Representative: Florida,1885,,,,,,,,,,,,,,
Middleton,William C.,St. Johns,State House Representative: Florida,1885,,,,,,,,,,,,,,
Hilmes,William ,Sumter,State House Representative: Florida,1885,,,,,,,,,,,,,,
Overstreet,Silas T. ,Suwannee,State House Representative: Florida,1885,,,,,,,,,,,,,,
Kelly,John R,Taylor,State House Representative: Florida,1885,,,,,,,,,,,,,,
McLean,James A.,Walton,State House Representative: Florida,1885,,,,,,,,,,,,,,
Monroe,Charles D.,Walton,State House Representative: Florida,1885,,,,,,,,,,,,,,
Miller,William W. J.,Washington,State House Representative: Florida,1885,,,,,,,,,,,,,,
Waring,Malachi Howell II,Madison,State House Representative: Florida,1886,,,,,,,,,,,,,,
Tolbert,Joesph M.,14th District,State House Representative: Florida,1887,,,,,,,,,,,,,,
McMurray,P. E.,18th District,State House Representative: Florida,1887,,,,,,,,,,,,,,
Stockton ,P. B.,6th District,State House Representative: Florida,1887,,,,,,,,,,,,,,
Cromwell,James D.,Alachua,State House Representative: Florida,1887,,,,,,,,,,,,,,
Hall,Reubin H.,Alachua,State House Representative: Florida,1887,,,,,,,,,,,,,,
Mason,H. G.,Alachua,State House Representative: Florida,1887,,,,,,,,,,,,,,
D0uglass,Charles Waterman,Bradford,State House Representative: Florida,1887,,,,,,,,,,,,,,
Johns,Jerry M.,Bradford,State House Representative: Florida,1887,,,,,,,,,,,,,,
Johnson,Riley,Brevard,State House Representative: Florida,1887,,,,,,,,,,,,,,
McClellan,John H.,Calhoun,State House Representative: Florida,1887,,,,,,,,,,,,,,
Wilson,William ,Clay,State House Representative: Florida,1887,,,,,,,,,,,,,,
Farnell,James O.,Columbia,State House Representative: Florida,1887,,,,,,,,,,,,,,
Tompkins,John William ,Columbia,State House Representative: Florida,1887,,,,,,,,,,,,,,
Davidson,James Wood,Dade,State House Representative: Florida,1887,,,,,,,,,,,,,,
Parker,Jacob S.,Duval,State House Representative: Florida,1887,,,,,,,,,,,,,,
Tippin,Augustus Calvin,Escambia,State House Representative: Florida,1887,,,,,,,,,,,,,,
Davidson,"Peter H., Jr. ",Escambia ,State House Representative: Florida,1887,,,,,,,,,,,,,,
Fillingim,John Thomas,Escambia ,State House Representative: Florida,1887,,,,,,,,,,,,,,
Hicks,Henry Clay ,Franklin,State House Representative: Florida,1887,,,,,,,,,,,,,,
Floyd,Mathew Benjamin,Gadsden,State House Representative: Florida,1887,,,,,,,,,,,,,,
Spear,Henry H.,Gadsden,State House Representative: Florida,1887,,,,,,,,,,,,,,
Strom ,Samuel H.,Gadsden,State House Representative: Florida,1887,,,,,,,,,,,,,,
Duncan,James M.,Hamilton,State House Representative: Florida,1887,,,,,,,,,,,,,,
Latham,James Franklin,Hernando,State House Representative: Florida,1887,,,,,,,,,,,,,,
Saxon,Frank E.,Hernando,State House Representative: Florida,1887,,,,,,,,,,,,,,
Matchett,John W.,Hillsborough,State House Representative: Florida,1887,,,,,,,,,,,,,,
Kelley,Charles R.,Holmes,State House Representative: Florida,1887,,,,,,,,,,,,,,
Neel,Henry C.,Jackson,State House Representative: Florida,1887,,,,,,,,,,,,,,
Lamar,William Bailey ,Jefferson,State House Representative: Florida,1887,,,,,,,,,,,,,,
Pasco,Samuel,Jefferson,State House Representative: Florida,1887,,,,,,,,,,,,,,
Thomas,William Covington,Jefferson,State House Representative: Florida,1887,,,,,,,,,,,,,,
Willie,James J.,Jefferson,State House Representative: Florida,1887,,,,,,,,,,,,,,
Goodbeard,Thomas S.,Lafayette,State House Representative: Florida,1887,,,,,,,,,,,,,,
Mitchell,John W.,Leon,State House Representative: Florida,1887,,,,,,,,,,,,,,
Shuler,Thomas P.,Liberty,State House Representative: Florida,1887,,,,,,,,,,,,,,
Haven,Henry,Madison,State House Representative: Florida,1887,,,,,,,,,,,,,,
Walker,James J.,Madison,State House Representative: Florida,1887,,,,,,,,,,,,,,
Pelot,John Crews MD,Manatee,State House Representative: Florida,1887,,,,,,,,,,,,,,
Pooser,Francis D.,Marion,State House Representative: Florida,1887,,,,,,,,,,,,,,
Curry,George H. ,Monroe,State House Representative: Florida,1887,,,,,,,,,,,,,,
Shavers,Charles A.,Monroe,State House Representative: Florida,1887,,,,,,,,,,,,,,
Dyal,Burton G.,Nassau,State House Representative: Florida,1887,,,,,,,,,,,,,,
Robinson,Richard Goldborough,Nassau,State House Representative: Florida,1887,,,,,,,,,,,,,,
Upchurch,John J.,Nassau,State House Representative: Florida,1887,,,,,,,,,,,,,,
Lightsey,Ulysses A.,Polk,State House Representative: Florida,1887,,,,,,,,,,,,,,
Hind,Thomas,Putnam,State House Representative: Florida,1887,,,,,,,,,,,,,,
Woods,John ,Santa Rosa,State House Representative: Florida,1887,,,,,,,,,,,,,,
Perpall,Charles F.,St. Johns,State House Representative: Florida,1887,,,,,,,,,,,,,,
Duncan,Henry H.,Sumter ,State House Representative: Florida,1887,,,,,,,,,,,,,,
Newlan,James R.,Suwannee,State House Representative: Florida,1887,,,,,,,,,,,,,,
Umstead,B. F.,Suwannee,State House Representative: Florida,1887,,,,,,,,,,,,,,
Hendry,James M.,Taylor,State House Representative: Florida,1887,,,,,,,,,,,,,,
McKinnon,Charles L.,Walton,State House Representative: Florida,1887,,,,,,,,,,,,,,
Tompkins,John William ,14th District,State House Representative: Florida,1889,,,,,,,,,,,,,,
Hendry,George M.,24th District,State House Representative: Florida,1889,,,,,,,,,,,,,,
Rives,William Caldwell,Alachua,State House Representative: Florida,1889,,,,,,,,,,,,,,
Richard,John C.,Bradford,State House Representative: Florida,1889,,,,,,,,,,,,,,
Norwood,William S.,Brevard,State House Representative: Florida,1889,,,,,,,,,,,,,,
Hall,George Washington,Clay,State House Representative: Florida,1889,,,,,,,,,,,,,,
Hendry,John Wright Reverend,DeSoto,State House Representative: Florida,1889,,,,,,,,,,,,,,
Lewis,George A.,Duval,State House Representative: Florida,1889,,,,,,,,,,,,,,
Scott,John Robert Jr.,Duval,State House Representative: Florida,1889,,,,,,,,,,,,,,
Fillingim,Asa Thomas,Escambia ,State House Representative: Florida,1889,,,,,,,,,,,,,,
Johnston,H. W.,Franklin,State House Representative: Florida,1889,,,,,,,,,,,,,,
Hinson,Benjamon Hadley,Gadsden,State House Representative: Florida,1889,,,,,,,,,,,,,,
Smith ,E. M.,Hamilton,State House Representative: Florida,1889,,,,,,,,,,,,,,
Snow,Joesph Russell,Hernando,State House Representative: Florida,1889,,,,,,,,,,,,,,
Mathes,Benjamin N.,Hillsborough,State House Representative: Florida,1889,,,,,,,,,,,,,,
Walton,John B.,Hillsborough,State House Representative: Florida,1889,,,,,,,,,,,,,,
McNeil,Asa,Holmes,State House Representative: Florida,1889,,,,,,,,,,,,,,
Milton,William Hall Jr.,Jackson,State House Representative: Florida,1889,,,,,,,,,,,,,,
Smith ,Gabriel,Jackson,State House Representative: Florida,1889,,,,,,,,,,,,,,
Taylor,F. B.,Jefferson,State House Representative: Florida,1889,,,,,,,,,,,,,,
Turnbull,Samuel J.,Jefferson,State House Representative: Florida,1889,,,,,,,,,,,,,,
Hart,Isaac Franklin,Lafayette,State House Representative: Florida,1889,,,,,,,,,,,,,,
Dickison,John Jackson,Lake,State House Representative: Florida,1889,,,,,,,,,,,,,,
Knight,Peter Oliphant,Lee,State House Representative: Florida,1889,,,,,,,,,,,,,,
Walker,Bejamin Franklin,Leon,State House Representative: Florida,1889,,,,,,,,,,,,,,
O'Neal,John William,Madison,State House Representative: Florida,1889,,,,,,,,,,,,,,
Paterson,Hugh,Madison,State House Representative: Florida,1889,,,,,,,,,,,,,,
Delgado,Morua P.,Monroe,State House Representative: Florida,1889,,,,,,,,,,,,,,
Moreno,Manuel R. MD,Monroe,State House Representative: Florida,1889,,,,,,,,,,,,,,
Farmer,Webster W.,Nassau,State House Representative: Florida,1889,,,,,,,,,,,,,,
Johnson,Riley,Oesceola,State House Representative: Florida,1889,,,,,,,,,,,,,,
Morgan ,E. C. Colonel,Orange,State House Representative: Florida,1889,,,,,,,,,,,,,,
Latham,James Franklin,Pasco,State House Representative: Florida,1889,,,,,,,,,,,,,,
Moore,Theodore Vivian,St. Johns,State House Representative: Florida,1889,,,,,,,,,,,,,,
Knight,Mathew Mickler,Suwannee,State House Representative: Florida,1889,,,,,,,,,,,,,,
Martin,Samuel Madison,Suwannee,State House Representative: Florida,1889,,,,,,,,,,,,,,
Whidden,Charles B.,Taylor,State House Representative: Florida,1889,,,,,,,,,,,,,,
Green ,E. W.,Volusia,State House Representative: Florida,1889,,,,,,,,,,,,,,
Hawley,Amos B. DDS,Volusia,State House Representative: Florida,1889,,,,,,,,,,,,,,
Raker,Thomas Jefferson,Wakulla,State House Representative: Florida,1889,,,,,,,,,,,,,,
Saunders,Wirt B.,Walton,State House Representative: Florida,1889,,,,,,,,,,,,,,
Gainer,William Bartlett,Washington,State House Representative: Florida,1889,,,,,,,,,,,,,,
Jenkins,McPherson,12th District,State House Representative: Florida,1891,,,,,,,,,,,,,,
King ,J. W. F.,Alachua,State House Representative: Florida,1891,,,,,,,,,,,,,,
Mann,William Daniel,Baker,State House Representative: Florida,1891,,,,,,,,,,,,,,
Johns,John D.,Bradford,State House Representative: Florida,1891,,,,,,,,,,,,,,
Saulsbury,R. S.,Citrus,State House Representative: Florida,1891,,,,,,,,,,,,,,
Langford,T. J.,Columbia,State House Representative: Florida,1891,,,,,,,,,,,,,,
Dimick,Elisha Newton,Dade,State House Representative: Florida,1891,,,,,,,,,,,,,,
Parker,T. O.,DeSoto,State House Representative: Florida,1891,,,,,,,,,,,,,,
Haddock,Joesph N.,Duval,State House Representative: Florida,1891,,,,,,,,,,,,,,
Hicks,Henry Clay ,Franklin,State House Representative: Florida,1891,,,,,,,,,,,,,,
Mann,Austin Shuey,Hernandto,State House Representative: Florida,1891,,,,,,,,,,,,,,
Sparkman,Simeon E.,Hillsborough,State House Representative: Florida,1891,,,,,,,,,,,,,,
Whitehurst,Walton,Hillsborough,State House Representative: Florida,1891,,,,,,,,,,,,,,
Pittman,Thomas H.,Holmes,State House Representative: Florida,1891,,,,,,,,,,,,,,
Dykes,William H.,Jackson,State House Representative: Florida,1891,,,,,,,,,,,,,,
Morris,John E.,Jefferson,State House Representative: Florida,1891,,,,,,,,,,,,,,
Peacock,J. M.,Lafayette,State House Representative: Florida,1891,,,,,,,,,,,,,,
Hocker,William Adam,Lake,State House Representative: Florida,1891,,,,,,,,,,,,,,
Sumerlin,Samuel,Lee,State House Representative: Florida,1891,,,,,,,,,,,,,,
Hollinger ,E. K.,Leon,State House Representative: Florida,1891,,,,,,,,,,,,,,
Turnbull,Theodore,Leon,State House Representative: Florida,1891,,,,,,,,,,,,,,
Rye,Henry F.,Madison,State House Representative: Florida,1891,,,,,,,,,,,,,,
Vann,Livingston,Madison,State House Representative: Florida,1891,,,,,,,,,,,,,,
Young,R. T.,Manatee,State House Representative: Florida,1891,,,,,,,,,,,,,,
Thompson,Phil E.,Monroe,State House Representative: Florida,1891,,,,,,,,,,,,,,
Whitner,Benjamin Franklin,Orange,State House Representative: Florida,1891,,,,,,,,,,,,,,
Overstreet,E. L. D.,Osceola,State House Representative: Florida,1891,,,,,,,,,,,,,,
McRae,Henry C.,Pasco,State House Representative: Florida,1891,,,,,,,,,,,,,,
Hutchinson,Henry,Putnam,State House Representative: Florida,1891,,,,,,,,,,,,,,
Goode,M. W.,St. Johns,State House Representative: Florida,1891,,,,,,,,,,,,,,
Usina,D. B.,St. Johns,State House Representative: Florida,1891,,,,,,,,,,,,,,
High ,W. B.,Suwannee,State House Representative: Florida,1891,,,,,,,,,,,,,,
Newlan,James R.,Suwannee,State House Representative: Florida,1891,,,,,,,,,,,,,,
Doughtery,Charles,Volusia,State House Representative: Florida,1891,,,,,,,,,,,,,,
Lavendor,John L.,Wakulla,State House Representative: Florida,1891,,,,,,,,,,,,,,
McSwain,Alexander,Walton,State House Representative: Florida,1891,,,,,,,,,,,,,,
Robertson,S. M.,Washington,State House Representative: Florida,1891,,,,,,,,,,,,,,
Dell ,John B. ,Alachua,State House Representative: Florida,1893,,,,,,,,,,,,,,
Kelley ,J. L. ,Alachua,State House Representative: Florida,1893,,,,,,,,,,,,,,
Rowe,Daniel H.,Baker,State House Representative: Florida,1893,,,,,,,,,,,,,,
Ward,E. P.,Bradford,State House Representative: Florida,1893,,,,,,,,,,,,,,
Parker,Henry L.,Brevard,State House Representative: Florida,1893,,,,,,,,,,,,,,
Stewart,John H.,Calhoun,State House Representative: Florida,1893,,,,,,,,,,,,,,
Goodbeard,Augustus S.,Columbia,State House Representative: Florida,1893,,,,,,,,,,,,,,
Means,Asberry W.,Columbia,State House Representative: Florida,1893,,,,,,,,,,,,,,
Morse,Frederick Streeter,Dade,State House Representative: Florida,1893,,,,,,,,,,,,,,
Flether,Duncan Upshaw,Duval,State House Representative: Florida,1893,,,,,,,,,,,,,,
Pickett,James E.,Duval,State House Representative: Florida,1893,,,,,,,,,,,,,,
Forman,William B.,Gadsden,State House Representative: Florida,1893,,,,,,,,,,,,,,
Hall,Oliver B.,Gadsden,State House Representative: Florida,1893,,,,,,,,,,,,,,
Johnson,John S.,Hamilton,State House Representative: Florida,1893,,,,,,,,,,,,,,
Williams ,Reddin Ephraim,Holmes,State House Representative: Florida,1893,,,,,,,,,,,,,,
Lee ,Cader A.,Jackson,State House Representative: Florida,1893,,,,,,,,,,,,,,
Denham,James S.,Jefferson,State House Representative: Florida,1893,,,,,,,,,,,,,,
Hooks ,T. J.,Lake,State House Representative: Florida,1893,,,,,,,,,,,,,,
Holland,James,Leon,State House Representative: Florida,1893,,,,,,,,,,,,,,
Rawls,W. A.,Leon,State House Representative: Florida,1893,,,,,,,,,,,,,,
Jackson,Thomas H.,Liberty,State House Representative: Florida,1893,,,,,,,,,,,,,,
Michelson,A. M.,Madison,State House Representative: Florida,1893,,,,,,,,,,,,,,
Long,Henry W.,Marion,State House Representative: Florida,1893,,,,,,,,,,,,,,
Mathews,George G. Jr.,Marion,State House Representative: Florida,1893,,,,,,,,,,,,,,
Pompez,Jose G.,Monroe,State House Representative: Florida,1893,,,,,,,,,,,,,,
Dyal,Burton G.,Nassau,State House Representative: Florida,1893,,,,,,,,,,,,,,
Noble ,George M.,Orange,State House Representative: Florida,1893,,,,,,,,,,,,,,
Johnston,John B.,Pasco,State House Representative: Florida,1893,,,,,,,,,,,,,,
Durrance,W. Jordan,Polk,State House Representative: Florida,1893,,,,,,,,,,,,,,
Fortner,Hardy F.,Polk,State House Representative: Florida,1893,,,,,,,,,,,,,,
Floyd ,Henry Hamilton,St. Johns,State House Representative: Florida,1893,,,,,,,,,,,,,,
Reid ,Robert A.,Suwannee,State House Representative: Florida,1893,,,,,,,,,,,,,,
Ross,John O.,Suwannee,State House Representative: Florida,1893,,,,,,,,,,,,,,
Hamilton,Thompson P.,Taylor,State House Representative: Florida,1893,,,,,,,,,,,,,,
Walker,Nat R.,Wakulla,State House Representative: Florida,1893,,,,,,,,,,,,,,
McKinnon,John L.,Walton,State House Representative: Florida,1893,,,,,,,,,,,,,,
Mclntosh,D. C.,Alachua,State House Representative: Florida,1895,,,,,,,,,,,,,,
